"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST000000000000000000000000000055","IN000000000000000000000000000161","1440.000000","00-Apr-1147"
"CUST000000000000000000000000000017","IN000000000000000000000000000162","1699.000000","26-Jun-1296"
"CUST000000000000000000000000000072","IN000000000000000000000000000163","3270.000000","26-Jul-1598"
"CUST000000000000000000000000000099","IN000000000000000000000000000164","5120.000000","19-May-1041"
"CUST000000000000000000000000000021","IN000000000000000000000000000165","3754.000000","24-Jan-1624"
"CUST000000000000000000000000000080","IN000000000000000000000000000166","4459.000000","07-May-1155"
"CUST000000000000000000000000000065","IN000000000000000000000000000167","4119.000000","23-Jul-1637"
"CUST000000000000000000000000000016","IN000000000000000000000000000168","1831.000000","17-Feb-1446"
"CUST000000000000000000000000000082","IN000000000000000000000000000169","3285.000000","12-Apr-1687"
"CUST000000000000000000000000000031","IN000000000000000000000000000170","4445.000000","00-Oct-1289"
"CUST000000000000000000000000000081","IN000000000000000000000000000171","4371.000000","21-Jul-1516"
"CUST000000000000000000000000000020","IN000000000000000000000000000172","2132.000000","02-Feb-1987"
"CUST000000000000000000000000000050","IN000000000000000000000000000173","3771.000000","09-Oct-1667"
"CUST000000000000000000000000000062","IN000000000000000000000000000174","7202.000000","22-May-1867"
"CUST000000000000000000000000000067","IN000000000000000000000000000175","588.000000","04-Jan-1392"
"CUST000000000000000000000000000006","IN000000000000000000000000000176","8471.000000","06-Oct-1784"
"CUST000000000000000000000000000044","IN000000000000000000000000000177","7152.000000","02-Aug-1788"
"CUST000000000000000000000000000072","IN000000000000000000000000000178","5943.000000","01-May-1963"
"CUST000000000000000000000000000100","IN000000000000000000000000000179","7090.000000","11-Jul-1225"
"CUST000000000000000000000000000073","IN000000000000000000000000000180","6279.000000","18-Apr-1799"
"CUST000000000000000000000000000087","IN000000000000000000000000000181","1005.000000","22-Oct-1313"
"CUST000000000000000000000000000076","IN000000000000000000000000000182","5563.000000","18-Feb-1754"
"CUST000000000000000000000000000077","IN000000000000000000000000000183","3460.000000","03-Jan-1876"
"CUST000000000000000000000000000011","IN000000000000000000000000000184","9718.000000","19-Apr-1352"
"CUST000000000000000000000000000034","IN000000000000000000000000000185","8811.000000","11-Nov-1213"
"CUST000000000000000000000000000006","IN000000000000000000000000000186","265.000000","08-Oct-1303"
"CUST000000000000000000000000000012","IN000000000000000000000000000187","3688.000000","27-Oct-1123"
"CUST000000000000000000000000000056","IN000000000000000000000000000188","8250.000000","00-Nov-1524"
"CUST000000000000000000000000000093","IN000000000000000000000000000189","6625.000000","24-Jan-1893"
"CUST000000000000000000000000000050","IN000000000000000000000000000190","85.000000","05-Jun-1693"
"CUST000000000000000000000000000050","IN000000000000000000000000000191","4464.000000","03-Feb-1212"
"CUST000000000000000000000000000044","IN000000000000000000000000000192","8135.000000","25-Nov-1542"
"CUST000000000000000000000000000012","IN000000000000000000000000000193","4036.000000","09-Jun-1150"
"CUST000000000000000000000000000031","IN000000000000000000000000000194","821.000000","22-May-1454"
"CUST000000000000000000000000000064","IN000000000000000000000000000195","1120.000000","12-Jan-1830"
"CUST000000000000000000000000000049","IN000000000000000000000000000196","6872.000000","10-Aug-1919"
"CUST000000000000000000000000000017","IN000000000000000000000000000197","2949.000000","14-Jul-2004"
"CUST000000000000000000000000000001","IN000000000000000000000000000198","2841.000000","11-Sep-1952"
"CUST000000000000000000000000000088","IN000000000000000000000000000199","8979.000000","12-Nov-1854"
