"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN000000000000000000000000000051","SBUQMGNYSFQDTHTFRRKJDIDGAZPEIO","69811.000000","81502"
"IN000000000000000000000000000068","DUULZMOVOFZPTCVNABAIWEMXZMTQTK","22584.000000","97533"
"IN000000000000000000000000000022","DWESKSEFXQSLLBWJNNAWMNLJXCDQJH","35368.000000","26912"
"IN000000000000000000000000000006","JDSRETSTVWYMPSCDQFVZDSNEAWSBKX","47768.000000","92751"
"IN000000000000000000000000000114","QVBZONFTRJPSEFHILNIZSJWSOVOYTS","87103.000000","58887"
"IN000000000000000000000000000073","TBRBUUQMAGJVMUHTLOQPSZQTJPYTLK","65969.000000","26100"
"IN000000000000000000000000000169","DCRVHKADTJNZBKNIDDYDBWSWTGNAPL","1531.000000","31959"
"IN000000000000000000000000000078","UEGMCZQJROJTTLWTPLZMRQQLAOTVKG","45635.000000","65011"
"IN000000000000000000000000000001","JKJLPEMFLVAGKKUYIVUUGFHVIZAITM","90457.000000","28179"
"IN000000000000000000000000000084","LREPLFMVQDKHMRZSXSSBQBYHKXNPOH","19051.000000","71310"
"IN000000000000000000000000000110","IICIEQEKBEUSWZZUMXOZMFQFLBFRPF","46458.000000","40096"
"IN000000000000000000000000000149","OUEQNNRKURFMYKYHDGIVTDPQQLFETR","91623.000000","86135"
"IN000000000000000000000000000038","DAQMMEJZEJUMHUCTFPQUNRMJZVYXWN","30070.000000","49500"
"IN000000000000000000000000000128","GBNGKVYFYLBJXWAQMBIWPFOUVAVPQJ","93652.000000","56383"
"IN000000000000000000000000000167","JFMBIDPGLRPUHKJZYZYBVIQMTMGRIC","5144.000000","19769"
"IN000000000000000000000000000106","YBTUBTZZLPVBPFYBAMHJQIKYVVNNGG","25937.000000","97238"
"IN000000000000000000000000000106","WPDHPHKQFQECZTRQFRQADCNEJYOMQI","80242.000000","16841"
"IN000000000000000000000000000190","QESYTDWSWQEGKTWMBXCJYKRPKAULLJ","61596.000000","75023"
"IN000000000000000000000000000016","LNAMYQKPTOZNYNUVTYAUBLTQRJWHWU","20517.000000","83262"
"IN000000000000000000000000000029","EAQASUGKINESKQVHAKOELXILCTQANE","58086.000000","73166"
"IN000000000000000000000000000113","CZRNGTTTFRXPUSSHZWVWIBAEHJFJOH","2622.000000","2130"
"IN000000000000000000000000000190","QTPBOEUZEDLJZUXVACVRCZKUYAWWOR","27020.000000","71235"
"IN000000000000000000000000000108","XROGJIZGOZLCZYPODQOEJMQNHRZVJK","5332.000000","9828"
"IN000000000000000000000000000016","YIGVIMDRNMCTERIBJMUDZOUDLYSNOZ","2918.000000","71410"
"IN000000000000000000000000000055","MMPEOPOKEXEEUHKTJGMYZTCOXQPOIL","77615.000000","79188"
"IN000000000000000000000000000140","PTMDOCDHMTFDIRTDKIPZUCEXFVHIDH","38542.000000","9285"
"IN000000000000000000000000000194","GJXWWQNYGJELSGDHSXQNRUIVXRTGIV","4117.000000","13277"
"IN000000000000000000000000000103","KYGKRSHGPGSKCWNJEDLUEWWKSHGZSX","1256.000000","25217"
"IN000000000000000000000000000174","IYGEVLLMPBHCPNQUSRUWJEXAZHEUXJ","36115.000000","60585"
"IN000000000000000000000000000002","MJRWEZMJIUGANNBIKRRAWCDESRPPLB","9784.000000","57338"
"IN000000000000000000000000000102","NLTZSUQONSKYZBXDZQHCAYBCVVXBRE","98144.000000","47327"
"IN000000000000000000000000000102","RSQDNJWBFRRRIABJEMQPFFUOYCFRRJ","81145.000000","94647"
"IN000000000000000000000000000087","QQBAYWXGUVXJVNPJDNABOJMMXKJFAQ","51933.000000","82433"
"IN000000000000000000000000000187","KCMZRPCZJMJHCVJCCRXJPYXGUORLPT","87793.000000","61032"
"IN000000000000000000000000000099","GOAZQQRFHETIQAMIIFZGSKGLNFAMRT","29340.000000","43443"
"IN000000000000000000000000000031","QCHLRAHOMUAFKEUUNXKXBJRTRTMCAY","47800.000000","59921"
"IN000000000000000000000000000066","QNZIVXNWUTCBABRVSZITDQKGLKUCYA","45925.000000","64677"
"IN000000000000000000000000000109","JAMUKLVHUQMAKBPOFRYOLXZYXYCMPQ","14302.000000","40954"
"IN000000000000000000000000000050","HDATFHOHIOUPWBKMRGCPCDLYKZYSUJ","18227.000000","49617"
"IN000000000000000000000000000014","HCFAJKLLBHTEWPUYJDWSDUGEXZVSWA","29270.000000","71306"
"IN000000000000000000000000000178","ZMLVLWKHJUURWOUSKZMHDHBZDEAZGI","69166.000000","98621"
"IN000000000000000000000000000133","WNKPXYONEQROBBSFPHXBOTDYRYVIHS","21502.000000","53001"
"IN000000000000000000000000000028","FTZCUWKYGFRYWPXDWGRIRLTQRAOHHS","19457.000000","35540"
"IN000000000000000000000000000074","FVBYDNVTWJXHOIRSMZQDZNDSUSGIII","80675.000000","95099"
"IN000000000000000000000000000042","PLOJKNSMNEXFRVNEATXFDFMUYQXGCE","41450.000000","5713"
"IN000000000000000000000000000068","CHLOBNDKQHIVSGWYIPWOWJSUQPVLGX","7836.000000","55219"
"IN000000000000000000000000000009","HKXHBUNABMASKZDMLKCYJQYYLSYOBN","1750.000000","24177"
"IN000000000000000000000000000097","VAVWYAZHOWHQGJRZYCIGWXTQPBXNVF","29332.000000","46361"
"IN000000000000000000000000000082","LILEWESXZDWCYVLIOXHUSFYDGSFDMR","90750.000000","74991"
"IN000000000000000000000000000099","ROXGXIWUCYVHKRNOXJGSFQMBKKBZJX","80334.000000","53032"
"IN000000000000000000000000000156","LNSKSUHKNLPUCXBYWKBCFSGKAPIDQN","74517.000000","17841"
"IN000000000000000000000000000069","SKKAIYCLFVPTTQHNSGNJQSYFFNAZDX","43987.000000","86622"
"IN000000000000000000000000000146","WAPPGYBWHQILUURXUAACXGYQGOQBKG","11605.000000","49176"
"IN000000000000000000000000000029","AEBRQJFOBYGFXMEZNOLFSPUBPONVJJ","66866.000000","12963"
"IN000000000000000000000000000017","JGICPHXKBMYEAHZGLBQQAQXKZBOVOA","51992.000000","35174"
"IN000000000000000000000000000182","GNDUCNZMHNMOZKBZEQOWVDRBUBRAWL","85171.000000","54922"
"IN000000000000000000000000000188","JXPPERIBYGNRWPQZMFHPGRYZRMFHFW","47122.000000","6402"
"IN000000000000000000000000000166","ZXCAHOPLYGLHWOJSHZHSINXLTOXRDG","72882.000000","59625"
"IN000000000000000000000000000102","ZYJUZUJNHYBCTJLOVBNFVQHVTAJSTS","18686.000000","32837"
"IN000000000000000000000000000086","UVVOHINQFVTMIDWLCJPSSICLSIHOOS","28624.000000","20430"
"IN000000000000000000000000000169","XDTBOTADVGJHLYVEXSOKAFILNIFNCK","66929.000000","54250"
"IN000000000000000000000000000174","WXBEAWALJEPSNXPGPHEAUWBQYYNLVU","41924.000000","30977"
"IN000000000000000000000000000006","WRADQNBSKIGBUFWECVYWHHDARIVICU","48569.000000","40960"
"IN000000000000000000000000000117","IVVFIZHWXZINCMNUSBEITSWWDBWHZX","27604.000000","1972"
"IN000000000000000000000000000185","MPVAQQWUHZLPZNMNQLENXAVPPYUZNK","35365.000000","76260"
"IN000000000000000000000000000182","LVWNINNBNRGCXFDGNODZAVUJZJKCGQ","59573.000000","81147"
"IN000000000000000000000000000035","BDLWHQBWZFSLTKWIGBZBBZVXGHBESF","29510.000000","92643"
"IN000000000000000000000000000162","WGVGNYSGASOQCPYDBKWNCKWWMVMGMB","83487.000000","3964"
"IN000000000000000000000000000071","OAVEZYXOZVXWLEIGHEZNJOKXRRSYDH","60868.000000","3934"
"IN000000000000000000000000000158","YERSSQHTPJJPTDBJXNIAXFMBDASJUU","54426.000000","7100"
"IN000000000000000000000000000096","KBXDGJMOMWWFTIBPRMHAZDZHYYWJVG","87864.000000","9942"
"IN000000000000000000000000000069","NTIEWHWCSOLMRQVPZUWXHFAUGGCMYR","95983.000000","68215"
"IN000000000000000000000000000163","ZOQJCYSSAKXILORKVVPEYMWMAHHBOE","3347.000000","84361"
"IN000000000000000000000000000018","YSWXZMEOGGZYUNVRJDAJYGXXBXPFMN","36591.000000","54913"
"IN000000000000000000000000000138","EQLMSMRKICGBMTKUUTTCTGENHHOVCJ","25693.000000","95818"
"IN000000000000000000000000000026","HERJYJQNMVJPXIFYTPGZTBWGEVIRID","92322.000000","38519"
"IN000000000000000000000000000032","WYWPETZQCNMZLBUBOCCXAJKVUTEACC","22691.000000","92988"
"IN000000000000000000000000000127","KRQPJVLRCOSVFHMMDYUVSCLSFJFIIO","79902.000000","6956"
"IN000000000000000000000000000028","QLARXRVDGIGUWROPGMHWUGVYVVPTCJ","49553.000000","89928"
"IN000000000000000000000000000163","FCYWCSUTPYUHBGDMUNPTRQQNXFNCHA","30057.000000","15468"
"IN000000000000000000000000000030","WKGUPPKPGFAZAKOFPJOPHMCWOEVQRT","89594.000000","89431"
"IN000000000000000000000000000013","HSBEOFYWTTDVYTYFNKLIWNHLORGMSP","82421.000000","93991"
"IN000000000000000000000000000163","XEIDZJXFZAGRLINNFCMMHFVDYGHPZU","49931.000000","71008"
"IN000000000000000000000000000014","VYAJWNLCQBCMHTUDAGVIWSJQISUVAH","74633.000000","35963"
"IN000000000000000000000000000131","QTHAADAYZRYJTBEOLKVQXQGEGVACEX","46775.000000","72187"
"IN000000000000000000000000000045","BVCIVQVNZBCCGSGNWUYFHZCGEBKMLH","75138.000000","32535"
"IN000000000000000000000000000094","QYZVATXBVZTFEGZFBVKHKAXHBAYOIR","31418.000000","20962"
"IN000000000000000000000000000125","KTTWVSTYWQGBHSWXMAEWXOEORNVBER","31714.000000","14977"
"IN000000000000000000000000000144","JZNHCBHACZAIRODPEIFMSDTGSZLEYP","67101.000000","50219"
"IN000000000000000000000000000089","SNBDIKHYALRIYWXWSHRYMYEIIAZUOQ","85766.000000","1075"
"IN000000000000000000000000000046","VTGZHWMIFMTPXJQGVBJHWAKJMGRECA","4051.000000","18482"
"IN000000000000000000000000000149","NNIWHTJNCYIHLZIIFXHFWYRBSXJVOO","88439.000000","46353"
"IN000000000000000000000000000001","FVETEGPINKRKAFRDIVCTWFTTVBKJPL","18666.000000","95192"
"IN000000000000000000000000000110","JCRKKZIUHYQDJQMAUAVRXMEQPVYLKB","76721.000000","11133"
"IN000000000000000000000000000063","KWBRECNIOTUBRCAHEQTMLHFRDISMBO","77883.000000","45893"
"IN000000000000000000000000000145","YTZKYTSACIZNXBBXVNWWJVDNWEBSHR","60568.000000","77279"
"IN000000000000000000000000000191","SOCZTKJTLCLJPGIULIUXBYIBCVGLQZ","94345.000000","76732"
"IN000000000000000000000000000032","XCJTRPGIRYIBKJNHAFHFYDRQLGEAUC","19811.000000","71151"
"IN000000000000000000000000000023","CDEQTXUPJLLUVYIUACJGIBDFCGQKIU","67609.000000","56458"
"IN000000000000000000000000000052","XEXQPRJKPMXKITWQFRWKSUNJPZRNLA","89921.000000","84154"
"IN000000000000000000000000000194","BOEXZNHLQFOFLZAMSFRQNGBQRFGLZF","58862.000000","20482"
"IN000000000000000000000000000099","HJOPIPXURMMPNLHGBEAWGAKGCNWZYO","72000.000000","83059"
"IN000000000000000000000000000154","TWLXXYDITDSHEXOKZKERFRADIVHKUI","39651.000000","53636"
"IN000000000000000000000000000188","VZJJTUGBGPUUJHZDNVDDBWFBTQJVCJ","57951.000000","51321"
"IN000000000000000000000000000040","MSWRSJPYDDLFOCDNELJQMTYRXCGUCT","1988.000000","79398"
"IN000000000000000000000000000143","MHXSCGDSEPAIKIRTNMIKYVOKEMNPEG","77362.000000","96239"
"IN000000000000000000000000000060","DTSJAXGOUAUOQCXSWSVPIGJDAZFUKU","59786.000000","90107"
"IN000000000000000000000000000031","CCDVBINLRCJGFNNMDXLPTCODAHTLFS","73817.000000","31042"
"IN000000000000000000000000000119","DATFKHCQYIOCHAIEDWYRRRFSELWBMH","80646.000000","25115"
"IN000000000000000000000000000145","EVSUBFYIXWXMYXWATMPVCOBDJLYTYZ","5219.000000","16683"
"IN000000000000000000000000000003","BPFJHWDVOZJFGCQMPEUSLJDATVHBVG","67679.000000","82827"
"IN000000000000000000000000000197","HXFEGEWZYECKYAZSGWWMLGJJFWYJMA","27152.000000","32445"
"IN000000000000000000000000000022","CZKEKBXGKYQNATUBFZZRMHUGMUXKKQ","38306.000000","99624"
"IN000000000000000000000000000083","AJKZBRPDZRISANYHVLWVZWIEQUMHKT","4506.000000","5147"
"IN000000000000000000000000000067","PGJTXORROFQGWWDDSUUOJCNPFJUBLN","34838.000000","92300"
"IN000000000000000000000000000010","TGBMCGOFAGSVIMIXXHBOLCIGMPWUPZ","87108.000000","74427"
"IN000000000000000000000000000175","EAJSWDDKQLYVCNCFJHWFQRNWNGLELZ","64850.000000","53416"
"IN000000000000000000000000000050","UKWEYTDIHPBJELPDWMCOMPBCSSBBNV","98841.000000","87357"
"IN000000000000000000000000000083","FGRODBKAERWNQPDKUILNORQIKQTNWE","50343.000000","51178"
"IN000000000000000000000000000073","PZNFTVYLWZIMOJILXKDVEIXSVAQWOV","35228.000000","44536"
"IN000000000000000000000000000183","VLCBKBHWPAPTWKLBDDBIFXMKTZWKSJ","89978.000000","1969"
"IN000000000000000000000000000122","MPYXCVCMPCPGNUFTYWTSXRPZEDEYYW","36180.000000","77498"
"IN000000000000000000000000000173","NBGTWKVXWEZLKUATCZQBOAJAIDOUWT","6564.000000","51837"
"IN000000000000000000000000000105","HGIRMXSXIBTHGZKUKKOFJULDJDMUJO","94497.000000","96196"
"IN000000000000000000000000000094","NFCETTFYJLJOZZSCTIIRNOWFYHEIWH","23131.000000","2897"
"IN000000000000000000000000000125","HCVWJTOVFDPIWFCTMALHLWIPYKLSAR","94495.000000","8843"
"IN000000000000000000000000000146","HQJAZTNFZGULWDTWTJJHUKDSPQLDLE","54173.000000","3261"
"IN000000000000000000000000000006","QPZSEQLAWMGAJRJYKVZESRXWAQHIZY","10277.000000","24623"
"IN000000000000000000000000000082","DZLBBMZIAAGXJTDMKFYYSFGQPFUYFR","45699.000000","81947"
"IN000000000000000000000000000193","GECCEYUBKGBQJBBQQDNQVUIHONHVMW","81434.000000","20796"
"IN000000000000000000000000000173","YXDGBMPZAMRVYARBCJMJGNEXQQTHFF","62292.000000","27850"
"IN000000000000000000000000000156","LVAXXEJCJQDGZIINBCZQIIBKQCAXEU","3888.000000","8530"
"IN000000000000000000000000000028","KDBLZPDYTKSFCAEKOJBCKOWAIEYVDE","67068.000000","69556"
"IN000000000000000000000000000123","GYXSTLPTVUFJOPYOVLPOJXUIUQCUQM","59124.000000","30782"
"IN000000000000000000000000000151","EZXJNOQEDKMWBLVREKRHECIOTACLXB","33584.000000","31424"
"IN000000000000000000000000000166","OVFBIKQQKYWHEYLWMOYRDTZRBRBVSY","27971.000000","36034"
"IN000000000000000000000000000143","BAROURBPOKCENISTXHXIXOLQDTBBVC","94122.000000","54992"
"IN000000000000000000000000000087","YKYLBALHRAJCHKAFJAASYVSSUFGUFR","46982.000000","60527"
"IN000000000000000000000000000100","QHWJELKPXHGFEKGSUCICIXMRSKYJGP","21779.000000","37967"
"IN000000000000000000000000000066","TLBLDQVQEDAMGEDNSTDKGWPXLIIUVT","70312.000000","37317"
"IN000000000000000000000000000118","ZQXDZAIRFREXJTANFSZNKLLCJNSFNX","52822.000000","71583"
"IN000000000000000000000000000108","CRFRLUZXVSFSENYKESGLVMQRJFWXTY","10065.000000","30857"
"IN000000000000000000000000000019","AQXXMEMHWMAFOQVPLCYKVDLGNNCXJF","80078.000000","25905"
"IN000000000000000000000000000112","HPREDYNTITUPKIFGAFETUPOXJUPTKT","81227.000000","33807"
"IN000000000000000000000000000123","CXDNOHUEUTWZXTMFVDAFOYMJRTDIIG","66796.000000","69918"
"IN000000000000000000000000000176","HGWYRZBXEAOSNZIKRSMJYLBEEEOQCO","72996.000000","14587"
"IN000000000000000000000000000028","IKEKKMLCDOTUJEDEOSVYBKFKFWVRJT","5228.000000","14161"
"IN000000000000000000000000000019","KYAXTOXOUBIURUNMGCKDZGNEQJCMXT","82587.000000","17036"
"IN000000000000000000000000000119","ANDTQMAGCWXQJNXKHUXHHWJLKAGDYZ","57426.000000","63154"
"IN000000000000000000000000000074","PSPIYCQCVMGCDZZVYYQQRCFXJNECKB","69957.000000","24209"
"IN000000000000000000000000000028","GEAZTBDKNQAANFRCXRRBBVQLKNUYBT","29910.000000","93413"
"IN000000000000000000000000000167","IRAZUZUWBOLLODHEBMKVJVCUARHMCZ","8927.000000","31139"
"IN000000000000000000000000000169","NAVMHPPJLIVAHJNWCYZGZPTYRJJLBB","43294.000000","11468"
"IN000000000000000000000000000073","JEKWORVDBSGNISALRHNZBWYWADGBXC","53048.000000","8317"
"IN000000000000000000000000000116","ETWYQRGDXHSZDWQCPLKYDSNCCTPPLH","56301.000000","39807"
"IN000000000000000000000000000183","EWYEVGYKZIKRDCUZNNFPNGSKXSEOIK","43136.000000","27128"
"IN000000000000000000000000000182","SNFSCAXKNKHVPPCRSWVAWPHUQDAZIT","80950.000000","85396"
"IN000000000000000000000000000106","GLHFYKVQCLMYIPZBNBSIFNIUOHGCRK","24158.000000","45293"
"IN000000000000000000000000000026","ZJIOIPEWWBGKUVKSOMJQGIGSNSNDSQ","8691.000000","91401"
"IN000000000000000000000000000115","LWHGYQCHKROSCETCIIIVJJPWIBLWIY","77090.000000","10880"
"IN000000000000000000000000000020","WZBVRJXUOCJWYRGTSRWWGGAUYBXZJZ","9885.000000","35782"
"IN000000000000000000000000000157","QFHRWLXRLDFLXMVPNVLOQBOWXOBGKA","96363.000000","31094"
"IN000000000000000000000000000190","IGMRCERKXPPFNKZMCRDRZOGQBENGFE","84966.000000","93642"
"IN000000000000000000000000000059","HKWPRIGRSSXNVXVPARCCKPGVEQQLLJ","69699.000000","51144"
"IN000000000000000000000000000060","NGRNFMJPMKCUXNJOZDEEIEUXXUTUDQ","78535.000000","63627"
"IN000000000000000000000000000143","GUFKLYMJQBCUXOIUPSSHVETYYLPGJC","53867.000000","25138"
"IN000000000000000000000000000068","DQIZVXECSCWMCVEVCAUOFVAHHBDJXG","43095.000000","42748"
"IN000000000000000000000000000108","TWVFYQESJABTUSHTDVXTVPAIEFCQHA","19966.000000","81139"
"IN000000000000000000000000000183","BRJFCBJEFULXWFLICCEZHZDLJGFFKK","30978.000000","90578"
"IN000000000000000000000000000122","XYIYMOIZUVMNEBNSIKSQNJFBHXFWWK","1544.000000","45062"
"IN000000000000000000000000000070","BEYCGRLYJZUSIWHNWYFIECOYQXWGSF","60885.000000","58941"
"IN000000000000000000000000000059","RTIWJIJKYBPXYXDGKEPBSVGFDRHMQP","60200.000000","42128"
"IN000000000000000000000000000072","HMDYZXDHUKNDASYHJPZSRGGLDHFSRW","98489.000000","70989"
"IN000000000000000000000000000034","OUDASORKKKLGDQEQSLOCOYQQZXPKEG","43747.000000","37990"
"IN000000000000000000000000000063","HWVWDLFEPEIQAPDTUXJVBHUKTBEOIG","69743.000000","96075"
"IN000000000000000000000000000044","JIJDVNZJZLVDRPMUUHYNYJNVXNYWAL","85263.000000","50895"
"IN000000000000000000000000000086","ABFGOKDPGKREJPSECQDVSAJZTALLUC","67077.000000","20453"
"IN000000000000000000000000000066","WKIAFQYTEHCROPHRPHARRLCWPCWIPC","44763.000000","54386"
"IN000000000000000000000000000027","ZIHXQZXSDMLVMBLFQQXHVXGWLHRDTN","79442.000000","60472"
"IN000000000000000000000000000179","KJFFQCJZMNITSZPXOHDXLRISJADQAC","36623.000000","97771"
"IN000000000000000000000000000085","DVDBSUOCXTWTSAPVHEEBJQRESBMHPS","87873.000000","3706"
"IN000000000000000000000000000076","OSFSOARBFFPYOETOHCAUEVBTDVAIVI","25366.000000","29356"
"IN000000000000000000000000000066","VYFUMLTRXJORRYDSQFNJSDTGHCVUTY","97317.000000","61100"
"IN000000000000000000000000000144","MFDIJMRSEKKSUIAIVHOLMQADCHZNMI","76938.000000","67789"
"IN000000000000000000000000000060","EZYHTTAVMLJOAQMLRTXSIYVONGFSCJ","99783.000000","57607"
"IN000000000000000000000000000020","HZHRUZPMHFZDUVJVHGTIIABYQCMYIJ","4535.000000","20314"
"IN000000000000000000000000000190","YHUTSFXYRAFYDUQHCQBMIGQLGZAIOC","54320.000000","22633"
"IN000000000000000000000000000174","SJFLRLCWBVGAFPEKFKXTBRVGOUPRKZ","69846.000000","16978"
"IN000000000000000000000000000130","VCPMBCWLJRLPEAKGXCUFXNWDSNQGZQ","39796.000000","64080"
"IN000000000000000000000000000050","SLHMOZSAFRKWYIYNMBENNQTMXPUILP","75386.000000","98735"
"IN000000000000000000000000000088","VLFAISHYLYTXBSILIGZIFMYHPUIUAB","36042.000000","39855"
"IN000000000000000000000000000066","RTPIHZZMXPXXDOFTBCIQMANYNNQUGB","15924.000000","4490"
"IN000000000000000000000000000028","XKZFFRKZFLBTPCZECBSUFDRIJRHQUU","25764.000000","48685"
"IN000000000000000000000000000066","FEPNKLCCVTLABUPUPELJCCRVIBWNCE","49493.000000","24367"
"IN000000000000000000000000000103","NJHUGBMMHXEEQRHGHMSSLEMRDHMWYC","96537.000000","16652"
"IN000000000000000000000000000005","OHTFMEMRBZSOHFBDXCHWNOTBQFXEHK","511.000000","99207"
"IN000000000000000000000000000083","INLGOIMLBVQKZLIYRHYYONHIYJKPSR","18070.000000","51695"
"IN000000000000000000000000000045","SIYQNDSULDVKHJWGEIVAOOMBYSKWXC","6754.000000","3790"
"IN000000000000000000000000000006","EASRWKWCXZKQKDNCEVGYHAXFUYJJDQ","7675.000000","89376"
"IN000000000000000000000000000097","GLPXUORLXOHNPEEUZWIFEJHQMZHVIR","30430.000000","89552"
"IN000000000000000000000000000175","CSAAVZBQSBHEIYCWQRAMNNVNTHDSVN","89245.000000","40880"
"IN000000000000000000000000000031","QLFDVGYAAEYVFAZSOSISBCTJEHTETH","54485.000000","56293"
"IN000000000000000000000000000004","NRESIAUQWLCIHENESHDTEXDDIICNTN","6652.000000","33705"
